ID,trial_id,task_order,task,outpos,serpos,recalled,stim,WTP
96709,0,0,offer,-1,1,-1,38,74
96709,0,0,offer,-1,2,-1,76,74
96709,0,0,offer,-1,3,-1,78,74
96709,0,0,offer,-1,4,-1,77,74
96709,0,0,offer,-1,5,-1,72,74
96709,0,0,offer,-1,6,-1,82,74
96709,0,0,offer,-1,7,-1,83,74
96709,8,1,offer,-1,1,-1,37,60
96709,8,1,offer,-1,2,-1,42,60
96709,8,1,offer,-1,3,-1,40,60
96709,8,1,offer,-1,4,-1,78,60
96709,8,1,offer,-1,5,-1,54,60
96709,8,1,offer,-1,6,-1,74,60
96709,8,1,offer,-1,7,-1,83,60
96709,7,0,recall,1,7,1,38,-1
96709,7,0,recall,2,6,1,75,-1
96709,7,0,recall,3,5,1,55,-1
96709,7,0,recall,4,2,1,69,-1
96709,7,0,recall,5,1,1,49,-1
96709,7,0,recall,6,3,0,71,-1
96709,7,0,recall,7,4,0,48,-1
96709,0,0,recall,1,7,1,83,-1
96709,0,0,recall,2,6,1,82,-1
96709,0,0,recall,3,4,1,77,-1
96709,0,0,recall,4,5,1,72,-1
96709,0,0,recall,5,2,1,76,-1
96709,0,0,recall,6,1,0,38,-1
96709,0,0,recall,7,3,0,78,-1
96709,13,1,recall,1,7,1,25,-1
96709,13,1,recall,2,6,1,62,-1
96709,13,1,recall,3,5,1,68,-1
96709,13,1,recall,4,2,1,55,-1
96709,13,1,recall,5,1,1,46,-1
96709,13,1,recall,6,3,0,79,-1
96709,13,1,recall,7,4,0,37,-1
96709,31,3,recall,1,3,1,66,-1
96709,31,3,recall,2,4,1,50,-1
96709,31,3,recall,3,5,1,80,-1
96709,31,3,recall,4,6,1,89,-1
96709,31,3,recall,5,7,1,81,-1
96709,31,3,recall,6,1,0,48,-1
96709,31,3,recall,7,2,0,65,-1
96709,29,3,offer,-1,1,-1,21,NA
96709,29,3,offer,-1,2,-1,60,NA
96709,29,3,offer,-1,3,-1,65,NA
96709,29,3,offer,-1,4,-1,25,NA
96709,29,3,offer,-1,5,-1,72,NA
96709,29,3,offer,-1,6,-1,63,NA
96709,29,3,offer,-1,7,-1,26,NA
96709,27,3,offer,-1,1,-1,41,NA
96709,27,3,offer,-1,2,-1,87,NA
96709,27,3,offer,-1,3,-1,48,NA
96709,27,3,offer,-1,4,-1,78,NA
96709,27,3,offer,-1,5,-1,40,NA
96709,27,3,offer,-1,6,-1,36,NA
96709,27,3,offer,-1,7,-1,73,NA
96709,11,1,offer,-1,1,-1,21,45
96709,11,1,offer,-1,2,-1,38,45
96709,11,1,offer,-1,3,-1,43,45
96709,11,1,offer,-1,4,-1,11,45
96709,11,1,offer,-1,5,-1,58,45
96709,11,1,offer,-1,6,-1,41,45
96709,11,1,offer,-1,7,-1,42,45
96709,24,3,recall,1,7,1,48,-1
96709,24,3,recall,2,3,1,79,-1
96709,24,3,recall,3,5,1,55,-1
96709,24,3,recall,4,4,1,81,-1
96709,24,3,recall,5,1,0,34,-1
96709,24,3,recall,6,2,0,28,-1
96709,24,3,recall,7,6,0,52,-1
96709,30,3,recall,1,7,1,18,-1
96709,30,3,recall,2,1,1,65,-1
96709,30,3,recall,3,6,1,50,-1
96709,30,3,recall,4,2,1,34,-1
96709,30,3,recall,5,4,1,55,-1
96709,30,3,recall,6,3,0,52,-1
96709,30,3,recall,7,5,0,26,-1
96709,2,0,recall,1,7,1,83,-1
96709,2,0,recall,2,6,1,81,-1
96709,2,0,recall,3,2,1,55,-1
96709,2,0,recall,4,4,1,65,-1
96709,2,0,recall,5,1,1,92,-1
96709,2,0,recall,6,3,0,68,-1
96709,2,0,recall,7,5,0,43,-1
96709,3,0,offer,-1,1,-1,40,60
96709,3,0,offer,-1,2,-1,45,60
96709,3,0,offer,-1,3,-1,64,60
96709,3,0,offer,-1,4,-1,81,60
96709,3,0,offer,-1,5,-1,79,60
96709,3,0,offer,-1,6,-1,73,60
96709,3,0,offer,-1,7,-1,87,60
96709,14,1,offer,-1,1,-1,72,48
96709,14,1,offer,-1,2,-1,64,48
96709,14,1,offer,-1,3,-1,52,48
96709,14,1,offer,-1,4,-1,27,48
96709,14,1,offer,-1,5,-1,41,48
96709,14,1,offer,-1,6,-1,38,48
96709,14,1,offer,-1,7,-1,35,48
96709,14,1,recall,1,4,1,27,-1
96709,14,1,recall,2,7,1,35,-1
96709,14,1,recall,3,6,1,38,-1
96709,14,1,recall,4,1,0,72,-1
96709,14,1,recall,5,2,0,64,-1
96709,14,1,recall,6,3,0,52,-1
96709,14,1,recall,7,5,0,41,-1
96709,10,1,recall,1,1,1,81,-1
96709,10,1,recall,2,7,1,55,-1
96709,10,1,recall,3,4,1,91,-1
96709,10,1,recall,4,3,1,93,-1
96709,10,1,recall,5,6,1,39,-1
96709,10,1,recall,6,2,0,51,-1
96709,10,1,recall,7,5,0,44,-1
96709,5,0,offer,-1,1,-1,46,52
96709,5,0,offer,-1,2,-1,49,52
96709,5,0,offer,-1,3,-1,41,52
96709,5,0,offer,-1,4,-1,44,52
96709,5,0,offer,-1,5,-1,27,52
96709,5,0,offer,-1,6,-1,47,52
96709,5,0,offer,-1,7,-1,66,52
96709,15,1,recall,1,1,1,34,-1
96709,15,1,recall,2,7,1,79,-1
96709,15,1,recall,3,6,1,69,-1
96709,15,1,recall,4,3,1,50,-1
96709,15,1,recall,5,2,1,65,-1
96709,15,1,recall,6,4,0,82,-1
96709,15,1,recall,7,5,0,62,-1
96709,4,0,offer,-1,1,-1,63,49
96709,4,0,offer,-1,2,-1,22,49
96709,4,0,offer,-1,3,-1,34,49
96709,4,0,offer,-1,4,-1,69,49
96709,4,0,offer,-1,5,-1,51,49
96709,4,0,offer,-1,6,-1,33,49
96709,4,0,offer,-1,7,-1,62,49
96709,28,3,offer,-1,1,-1,81,63
96709,28,3,offer,-1,2,-1,51,63
96709,28,3,offer,-1,3,-1,42,63
96709,28,3,offer,-1,4,-1,70,63
96709,28,3,offer,-1,5,-1,47,63
96709,28,3,offer,-1,6,-1,79,63
96709,28,3,offer,-1,7,-1,65,63
96709,21,2,recall,1,7,1,84,-1
96709,21,2,recall,2,6,1,38,-1
96709,21,2,recall,3,5,1,67,-1
96709,21,2,recall,4,4,1,46,-1
96709,21,2,recall,5,1,1,70,-1
96709,21,2,recall,6,2,0,48,-1
96709,21,2,recall,7,3,0,83,-1
96709,12,1,offer,-1,1,-1,63,64
96709,12,1,offer,-1,2,-1,59,64
96709,12,1,offer,-1,3,-1,74,64
96709,12,1,offer,-1,4,-1,76,64
96709,12,1,offer,-1,5,-1,62,64
96709,12,1,offer,-1,6,-1,60,64
96709,12,1,offer,-1,7,-1,61,64
96709,2,0,offer,-1,1,-1,92,70
96709,2,0,offer,-1,2,-1,55,70
